Part Lists,,,,,,,,,,,,,,,,
PROJECT ,,HongKong MTR,,,,,,,,,,,,,,
Model / Ver.,,HK_AMP1_A2,,,,,,,,,,,,,,
Date,,2014. 7. 14,,,,,201,◀ Total Quantity,,,,,Total COST,,,
Remark,,,,,,,1,◀ Ass'y Quantity,,,,,0,,,
,,,,,,,,,,,,,,,,
STOCK,ORDER,No,ITEM,Category,"Part Number
(Specification)",Manufacturer,Q'ty,Location,Sub-Category,Package Type,Temperature,Package,"Unit
PRICE","Total
PRICE",MOQ/REEL,REMARK
,,,,,,,,,,,,,,,,
,12,54,Chip Resistor,Resistor,4.7K,,12,"R1,R5,R6,R7,R8,R11,R26,R27,R28,R29,
R119,R129",RM,,−55°C ~ +155°C,1608,0,0,,
,2,55,Chip Resistor,Resistor,6.34K/1%,,2,"R124,R126",RM,,−55°C ~ +155°C,1608,0,0,,
,9,56,Chip Resistor,Resistor,10K,,9,"R3,R9,R43,R44,R45,R46,R47,R60,R130",RM,,−55°C ~ +155°C,1608,0,0,,
,1,57,Chip Resistor,Resistor,13.7K/1%,,1,R125,RM,,−55°C ~ +155°C,1608,0,0,,
,5,58,Chip Resistor,Resistor,20K,,5,"R33,R34,R114,R115,R123",RM,,−55°C ~ +155°C,1608,0,0,,
,2,59,Chip Resistor,Resistor,47K,,2,"R61,R134",RM,,−55°C ~ +155°C,1608,0,0,,
,1,60,Chip Resistor,Resistor,56K,,1,R136,RM,,−55°C ~ +155°C,1608,0,0,,
,1,61,Chip Resistor,Resistor,100K,,1,R135,RM,,−55°C ~ +155°C,1608,0,0,,
,199,Total ,,,,,201,,,,,,0,0,,
,,REMARK,,,,,,,,,,,,,,
,,,"1. S1,X1,C2,C3 부품 미삽 처리",,,,,,,,,,,,,
